Timestamp,Flambeau (MW)
2022-04-17T05:00:00Z,23.1031475
2022-04-21T05:00:00Z,22.78236
2022-04-25T05:00:00Z,23.41485
2022-04-29T05:00:00Z,21.80849
2022-05-03T05:00:00Z,23.6183052
2022-05-07T05:00:00Z,19.4175224
2022-05-11T05:00:00Z,14.3504133
2022-05-15T05:00:00Z,21.5364723
2022-05-19T05:00:00Z,11.8240633
2022-05-23T05:00:00Z,11.0640392
2022-05-27T05:00:00Z,13.60885
2022-05-31T05:00:00Z,13.6432791
2022-06-04T05:00:00Z,10.6018057
2022-06-08T05:00:00Z,8.06464
2022-06-12T05:00:00Z,5.32363033
2022-06-16T05:00:00Z,6.66675425
2022-06-20T05:00:00Z,6.077991
2022-06-24T05:00:00Z,5.470266
2022-06-28T05:00:00Z,4.791253
2022-07-02T05:00:00Z,4.579605
2022-07-06T05:00:00Z,3.669127
2022-07-10T05:00:00Z,2.92392063
2022-07-14T05:00:00Z,4.815149
2022-07-18T05:00:00Z,6.075668
2022-07-22T05:00:00Z,4.05708838
